Organization Name,Address,City,State,Zip,Longitude,Latitude,Website,Phone Number,Description of Services,BASIC NEEDS,Clothing ,Financial assistance,Food,Emergency shelter,Housing/Shelter,Safe space,Youth drop-in centers,EARLY CHILDHOOD & PARENTING ,Child care/Day care ,Fatherhood programs,"Head Start/Early Head Start, preschool",Home visiting for pregnant/parenting teens,"Pregnant/parenting classes, counseling, support groups",EDUCATION,Academic counseling,"Arts (music, dance, writing, spoken word, language)",Behavioral/self-management programs/workshops,Civic engagement,"College readiness, counseling, career prep",Computer literacy/training,Enrichment field trips,Financial literacy,High school/GED completion,Homework help,Leadership/character development ,"Out of school, chronically truant youth counseling, re-engagement","Reading, literacy",Service learning,"STEM/STEAM (science, technology, engineering, math, arts)",Tutoring ,Vocational skills,EMPLOYMENT,Job placement (long-term),Job training/Workforce preparation,"Youth workforce preparation, employment",FAMILY STABILITY,"Adoption services, support","Domestic violence support, counseling",Family support,"Foster care services, support",Re-entry support programs for ex-offenders,HEALTH & WELLNESS,Anger management counseling,At-risk youth counseling,"Behavioral/mental health counseling, services",Behavior self-management programs,Cessation programs,Dental care,"Domestic violence support, counseling",Family and child counseling,"Family planning, birth control","Health clinics (primary care, family medicine, federally-qualified health centers)",Health literacy; connect to health services.,"HIV/AIDS testing, treatment",Immunizations/Vaccinations,Management of chronic conditions,Men's health services,"Mental health counseling, services","Nutrition and wellness programs, counseling",Physical activity/sports,"Preventive health (includes prenatal, dental, vision, cancer screenings)",Re-entry support programs for ex-offenders,"School, sports physicals",Sexual assault counseling,Sexually transmitted disease (STD) testing,"Substance abuse/addiction counseling, treatment",Vision care,Women's health services,HOTLINES/HELPLINES,Child abuse reporting,Crisis,Domestic violence,HIV/STI/STD Hotline,Rape,Trauma,VIOLENCE PREVENTION,At-risk youth counseling,"Domestic violence support, counseling",Engage youth to prevent gang participation,"Out of school/chronically truant youth counseling, re-engagement",Re-entry support programs for ex-offenders,Safe space,"Violence prevention workshop, peace circles",YOUTH ENGAGEMENT,After school programs,"Arts (music, dance, writing, spoken word, language)",Civic engagement,Engage youth to prevent gang participation,Enrichment field trips,"Leadership, character development",Mentoring ,"Out of school, chronically truant youth counseling, re-engagement",Service learning,"Sports, recreation","Summer programs, camp",Volunteer opportunities,Youth clubs,
D&H Literacy Center,7033 S Honore St,Chicago,IL,60636,-87.669891,41.766038,https://dhliteracycenter.wordpress.com/,312- 898-1812,"After school tutoring for grades 1-7, adult literacy program, parenting, anger management, and domestic violence classes.",,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,1,,,,,,,,1,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
DFSS Community Service Center - Englewood,1140 W 79th St,Chicago,IL,60620,-87.652932,41.750528,https://www.cityofchicago.org/city/en/depts/fss/supp_info/community_servicecenterlocations.html,312- 747-0200,"Provides a wide range of resources, such as shelter, food and clothing,  domestic violence assistance, job training/placement and prisoner re-entry, and information about rental, utility and other financial assistance programs to individuals and families in need. The facilities serve as Warming and Cooling Centers during periods of extreme weather. ",,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,
Diana's Playpen of Little Geniuses Inc.,6236 S Western Ave,Chicago,IL,60636,-87.683688,41.779990,http://www.dianasplaypen.net/index2.html,773- 737-6700,Childcare/daycare ages 6 weeks to 6 years old. ,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earle STEM Elementary School,2024 W 62nd St,Chicago,IL,60636,-87.674894,41.781183,https://chicagoearlylearning.org/location/649/,773- 535-9130,"Chicago Public Schools early childhood school based preschool program, ages 3-5 years.",,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elite House of Sober Living Inc. ,1236 W 72nd Pl,Chicago,IL,60636,-87.655482,41.762328,http://www.elitehousesofsoberliving.com,773- 994-8353,"Provides structured living environment, counseling, and case management for individuals that struggle with alcohol/drugs, criminal lifestyles, and homelessness.  Males 18 years and older. Candidates must be employed or demonstrate the ability to secure employment. ",,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Englewood Health Center of Cook County,1135 W 69th St,Chicago,IL,60621,-87.653361,41.768663,http://www.cookcountyhhs.org/health-centers/englewood-health-center/,773- 483-5011,"Health center provides following services: behavioral health, family medicine, psychologist, and social work.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Englewood UMC Food Pantry ,6400 S Stewart Ave,Chicago,IL,60621,-87.638722,41.773912,https://www.chicagosfoodbank.org/locations/englewood-umc-food-pantry/,773- 846-0665,HOURS: Wednesday 3:30 pm - 5:30 pm.  SERVICE AREA: Cook County.,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family Focus of Englewood,6727 S Western Ave,Chicago,IL,60636,-87.683385,41.771131,http://www.family-focus.org/centers/englewood,312- 745-3328,"Programs and services include family planning, home visiting for pregnant and parenting teens, prenatal and parenting support group, fatherhood program, trauma-focus therapy to families with children age 6 and younger, grandparent raising grandchildren, and referrals to other services (housing, GED, food, light and gas subsidies etc.).",,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Start Childcare Academy South,5700 S Ashland Ave,Chicago,IL,60636,-87.664528,41.790219,https://chicagoearlylearning.org/location/294/first-start-academy-south/, 773-778-4850,Child care/day care.  Head Start and Early Head Start.,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"First Step Learning Daycare, Inc. ",6401 S Ashland Ave,Chicago,IL,60636,-87.664144,41.777492,https://www.facebook.com/firststeplearning6401/,773-434-3100,Child care/day care.  ,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greater Englewood Chamber of Commerce,815 W 63rd St,Chicago,IL,60621,-87.645568,41.779394,www.gechamber.com,312- 880-9674,"Offers teens the opportunity to volunteer with the Chamber to get hands on training in relationship building, marketing, and business etiquette development.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Greater St. John AME Church Food Pantry,6201 S Throop St,Chicago,IL,60636,-87.657051,41.781362,https://www.chicagosfoodbank.org/locations/greater-st-john-ame-church/,773- 925-2262 x63,HOURS: Thursday 9:00 am - 11:00 am.  SERVICE AREA: Zip Code 60636.,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harvard Elementary School,7525 S Harvard Ave,Chicago,IL,60620,-87.632819,41.757617,https://chicagoearlylearning.org/location/698/john-harvard-elementary-school/,773- 535-3045,"Head Start.  Chicago Public Schools early childhood school based preschool program, ages 3-5 years.",,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henderson Elementary School,5650 S Wolcott Ave,Chicago,IL,60636,-87.671798,41.790916,https://chicagoearlylearning.org/location/706/,773- 535-9080,"Head Start.  Chicago Public Schools early childhood school based preschool program, ages 3-5 years.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holmes Elementary School,955 W Garfield Blvd,Chicago,IL,60621,-87.649240,41.793874,https://chicagoearlylearning.org/location/716/oliver-wendell-holmes-elementary-school/,773- 535-9025,"Head Start.  Chicago Public Schools early childhood school based preschool program, ages 3-5 years.",,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holy Willing Workers of Christ Food Pantry,716 W 69th St,Chicago,IL,60621,-87.641929,41.768901,https://www.chicagosfoodbank.org/locations/holy-willing-workers-of-christ/,773- 994-0277,HOURS: Friday 12:30 pm - 2:30 pm.  SERVICE AREA: N: 55th St; S: 79th St;  E: Wentworth; W: Carpenter.,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human Resources Development Institute - Assertive Community Treatment (ACT),1149 W. 79th Street,Chicago,IL,60620,-87.653266,41.751735,http://www.hrdi.org/our-services.html,773-966-0333,Community-based mental health and supportive services for adults (18 years of age and older) with serious and persistent mental illness or co-occurring mental health and medical or alcohol/substance abuse disorders. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human Resources Development Institute - Women's Supportive Housing,1223 W Marquette Rd,Chicago,IL,60636,-87.655261,41.772283,www.hrdi.org,773-651-2720,A HUD-funded program that provides supportive housing and mental health services to 16 women over the age of 18 who have been classified as homeless immediately prior to admission. Women referred  to this program can be unfunded (without insurance).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Grow Chicago,6402 S Honore St,Chicago,IL,60636,-87.670288,41.777349,http://www.igrowchicago.org/,312-286-7392,"Programs include sustainable farming and educational programs in nutrition, yoga and the arts.  After school programs, camps, mentoring, men's group, and laundry services.",,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,1,,,,1,,,
I Have a Dream Learning Day Care Center,6117 S Ashland Ave,Chicago,IL,60636,-87.664264,41.782542,https://www.facebook.com/pg/Ihaveadreamlearning/about/,773-424-0636,Child care/day care.  ,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL Department of Children & Family Services Child Abuse Reporting Hotline,,,,,,,https://www.IL.gov/dcfs/safekids/reporting/Pages/index.aspx,800-25-ABUSE (800-252-2873); TTY 1-800-358-5117,"Call the 24-hour Child Abuse Hotline if you suspect that a child has been harmed or is at risk of being harmed by abuse or neglect. If you believe a child is in immediate danger of harm, call 911 first.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois HIV/STI/STD Hotline ,,,,,,,,800-243-2437,"Free and anonymous hotline offering up-to-date, medically-accurate information on AIDS/HIV and sexually-transmitted diseases (STDs), emotional support, and state-wide referrals for healthcare and social services related to AIDS/HIV and STDs. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Imagine Englewood If,730 W 69th St,Chicago,IL,60621,-87.642633,41.768882,http://www.imagineenglewoodif.org,773-488-6704,"Programs include lead poisoning prevention, healthy eating/nutrition, violence prevention, homework help, tutoring, mentorship, field trips, community garden, and arts and crafts. After school program, summer camp.",,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,1,1,,1,,,1,1,,,,,,1,,,
In Touch Hotline,,,,,,,http://counseling.uic.edu/hotline.shtml,312-996-5535,"Sunday-Friday 6:00pm - 10:00pm.  Free telephone crisis intervention, counseling, and referral service offered to UIC students and members of the greater Chicagoland area for a wide range of problems including, but not limited to crisis situations, anxiety and panic, conflict resolution, relationship issues, difficult decisions, isolation, stress, depression, LGBT issues, loneliness, family concerns, referrals, academic stress, and trouble deciding on a major.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jellybean Learning Center V, Inc.",1455 W 63rd St,Chicago,IL,60636,-87.661541,41.779483,No website,773-321-5096,Child care/day care.,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Just Like Home Childcare Center Inc.,1249 W 63rd St,Chicago,IL,60636,-87.656511,41.779553,https://www.facebook.com/justlikehome63/,773-434-1999,Child care/day care.,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kennedy King - City Colleges of Chicago Adult Education,6301 S Halsted St,Chicago,IL,60621,-87.644745,41.779511,http://www.ccc.edu/site/Pages/adult-education.aspx,773- 602-5000,"City Colleges of Chicago offers free classes to help learn English (ESL), earn high school equivalency certificate, go to college, and build a career. Students seeking high school equivalency may be eligible for scholarships covering more than half the cost of either the GED® or HiSET® exams.  Students taking ESL and high school equivalency classes may be able to take courses for college credit at reduced cost through Career Bridge and Gateway programs.",,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kennedy-King College Child Development Lab School,710 W 65th St,Chicago,IL,60621,-87.642889,41.776165,http://www.ccc.edu/colleges/kennedy/departments/Pages/Child-Care.aspx,773- 602-5481,Early childhood program including Head Start.,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiddie Steps 4 You ,1700 W 63rd St,Chicago,IL,60636,-87.666822,41.779438,http://kiddiesteps4you.com,312- 471-2445,Child care/day care including Head Start.  Children ages 6 weeks to 12 years.,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kids Are Us Learning Center ,7453 S Vincennes Ave,Chicago,IL,60621,-87.631150,41.758557,No website,773-846-5437,Child care/day care.,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
King Academy of Social Justice Elementary School,644 W 71st St,Chicago,IL,60621,-87.640979,41.765304,http://www.kingacademy.cps.edu/,773- 535-3875,Pre-K.,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
King's Kiddie Kingdom,815 W 74th St,Chicago,IL,60621,-87.644819,41.759704,No website,773- 488-6016,Child care/day care.,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
King's Kiddie Kingdom II,7400 S Green St,Chicago,IL,60621,-87.645498,41.759590,No website,773- 488-6016,Child care/day care.,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Langford Community Academy,6010 S Throop St,Chicago,IL,60636,-87.657099,41.756709,https://chicagoearlylearning.org/location/737/,773- 535-9180,"Head Start.  Chicago Public Schools early childhood school based preschool program, ages 3-5 years.",,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lez Enfants Academy Inc. ,7209 S Halsted St,Chicago,IL,60621,-87.644315,41.763061,https://www.facebook.com/LezEnfantsAcademy/,773-846-5393,Child care/day care.,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lindblom Park,6054 S Damen Ave,Chicago,IL,60636,-87.674054,41.783849,http://www.chicagoparkdistrict.com/parks/Lindblom-Park/,312- 747-6443,"Programs include after-school, seasonal sports and summer camps.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,1,,,
"Literacy Zone, Inc. ",5831 S Western Ave,Chicago,IL,60636,-87.683814,41.787418,No website,773- 306-0856,Child care/day care.,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Angels Learning Center,6701 S Emerald Ave,Chicago,IL,60621,-87.643195,41.772282,https://www.facebook.com/pg/Little-Angels-Learning-Center-390647534455853/about/?ref=page_internal,773- 488-8777,Child care/day care.,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Hands Child Creative Center,7146 S Ashland Ave,Chicago,IL,60636,-87.663789,41.763519,https://chicagoearlylearning.org/location/337/little-hands-child-creative-center/,773- 471-0662,"Child care/day care.  Preschool, Head Start, Early Head Start.  Home visiting.",,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Kids Village Learning Center,2656 W 71st St,Chicago,IL,60629,-87.690371,41.764618,http://littlekidsvillage.com/index.html,773- 776-4753,"Child care/day care, preschool, Head Start, kindergarten for children 6 weeks to 6 years of age.",,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mays Elementary Academy,6656 S Normal Blvd,Chicago,IL,60621,-87.636882,41.773106,https://chicagoearlylearning.org/location/761/,773- 535-3892,"Head Start.  Chicago Public Schools early childhood school based preschool program, ages 3-5 years.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McKay Elementary School,6938 S Washtenaw Ave,Chicago,IL,60629,-87.690685,41.767485,https://chicagoearlylearning.org/location/767/,773- 535-9340,"Head Start.  Chicago Public Schools early childhood school based preschool program, ages 3-5 years.",,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metropolitan Family Services - Midway Center,3843 W 63rd St,Chicago,IL,60629,-87.719582,41.778683,https://www.metrofamily.org/community-centers/midway/,773-884-3310,"Programs and services include adoption preservation (counseling, crisis intervention and 24-hour on-call assistance), domestic violence support for survivors of partner abuse and their children, and for teens and children who have witnessed domestic violence; early learning home visiting for expectant and new parents; parenting fundamentals classes; substance abuse prevention program; young fathers program; and Words to Grow On, a vocabulary building initiative in collaboration with Chicago Public Library.",,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Metropolitan Family Services - Midway Children's Center,3215 West 63rd Street,Chicago,IL,60629,-87.703840,41.778707,https://www.metrofamily.org/community-centers/midway/,773-884-2350,Provides full-day care and learning for children ages 6 weeks to 5 years in the Chicago Lawn and Greater Englewood communities. ,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metropolitan Family Services - Midway Head Start Center,6422 South Kedzie,Chicago,IL,60629,-87.703274,41.776602,https://www.metrofamily.org/community-centers/midway/,773-884-2400,Head Start.   Serves children ages 3-5 years.,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitzi Freidheim Englewood Child + Family Center,1701 W 63rd St,Chicago,IL,60636,-87.666861,41.779383,https://www.childrenshomeandaid.org/early-childhood-care-education/community-child-care-centers/childrens-home-aid-mitzi-freidheim-englewood-child-family-center/, 773- 434-3100,"The center supports a wide range of programs serving children and parents including Head Start, Early Head Start, Raising A Reader, child care referral, computer literacy, parent support services.",,,,,,,,,,1,,1,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mother's Touch Day Care Center,2501 W 71st St,Chicago,IL,60629,-87.685861,41.764643,https://www.facebook.com/Motherstouchdaycarecenter/,773- 436-3177,Child care/day care.  ,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mount Olive Baptist Church Food Pantry,6354 S Marshfield Ave,Chicago,IL,60636,-87.665492,41.778289,https://www.chicagosfoodbank.org/locations/mount-olive-baptist-church/,773- 737-1523,HOURS: Saturday 1:00 pm - 3:00 pm.  SERVICE AREA: Zip Code 60636.,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Generation Creative Learning Center,1910 W 64th St,Chicago,IL,60636,-87.671868,41.777572,https://chicagoearlylearning.org/location/1017/easter-seals-new-generation-creative-learning-center/,773- 471-6145,Child care/day care.,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mt. Calvary Baptist Church Food Pantry,1850 W Marquette Rd,Chicago,IL,60636,-87.670479,41.772146,https://www.chicagosfoodbank.org/locations/new-mt-calvary-baptist-church/,773- 737-5433,HOURS: Monday 2:30 pm - 4:30 pm.  SERVICE AREA: N: 55th St; S: 75th St; E: Racine; W: Western.,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicholson STEM Academy,6006 S Peoria St,Chicago,IL,60621,-87.647340,41.784972,https://chicagoearlylearning.org/location/788/nicholson-technology-academy/,773- 535-3285,"Head Start.  Chicago Public Schools early childhood school based preschool program, ages 3-5 years.",,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olive Branch Mission Food Pantry,6310 S Claremont Ave,Chicago,IL,60636,-87.682338,41.778900,https://www.chicagosfoodbank.org/locations/olive-branch-mission/,773- 476-6200 x27,HOURS: Daily: B: 6:00 am - 8:00 am; L: 11:30 am - 1:15 pm; D: 4:30 pm - 6:10 pm.  SERVICE AREA: Cook County.,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olive Branch Mission Frontline Youth Opportunities,6310 S Claremont Ave,Chicago,IL,60636,-87.682338,41.778900,https://www.obmission.org/programs-cni1,773-476-6200 x10,"Provides residential case management and support services, an intensive character formation curriculum, literacy training, high school completion (GED), higher education opportunities, career training/placement and more for homeless and/or ex-offending, and/or former foster care young men ages 18-24.",,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Operation Blessing/Evening Star MB Church Food Pantry,2050 W 59th St,Chicago,IL,60636,-87.675496,41.786637,https://www.chicagosfoodbank.org/locations/operation-blessing-evening-str/,773-925-6160,Food pantry.  Every 3rd Saturday 9:00 am - 11:00 am.  SERVICE AREA: Cook County.,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O'Toole Elementary School,6550 S Seeley Ave,Chicago,IL,60636,-87.675038,41.774764,https://chicagoearlylearning.org/location/802/,773- 535-9040,"Head Start. Chicago Public Schools early childhood school based preschool program, ages 3-5 years.",,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
People Educated Against Crime in Englewood (P.E.A.C.E.) Community Center ,6455 S Peoria St,Chicago,IL,60621,-87.647088,41.776890,https://willfeedkids.wordpress.com/,773-651-9288; 773-677-7273,"Provides a safe environment for local youth ages 6-18 in Englewood neighborhood 8:30 AM - 5:00 PM.  Financial assistance program to pay energy bills.  Hot meal Wednesday and Friday, 12pm -2pm. ",,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
