14-Digit PIN #,Street Number,Dir.,Street Name,Type,Sq. Ft.,Ward,Community Area,Zoning Classification,TIF District,Location
20-17-109-027-0000,5610,S,LAFLIN,ST,3064,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"5610 S LAFLIN ST
CHICAGO, IL
(41.791764, -87.662033)"
20-19-415-032-0000,6824,S,ASHLAND,AVE,2657,17,WEST ENGLEWOOD,B3-2,63rd/Ashland,"6824 S ASHLAND AVE
CHICAGO, IL
(41.769534, -87.664035)"
20-19-231-027-0000,6636,S,ASHLAND,AVE,3086,15,WEST ENGLEWOOD,C1-2,63rd/Ashland,"6636 S ASHLAND AVE
CHICAGO, IL
(41.772848, -87.664127)"
20-20-322-027-0000,6922,S,ELIZABETH,ST,4137,6,WEST ENGLEWOOD,RS-3,NOT IN TIF,"6922 S ELIZABETH ST
CHICAGO, IL
(41.768021, -87.655409)"
20-17-114-029-0000,5610,S,ELIZABETH,ST,3120,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"5610 S ELIZABETH ST
CHICAGO, IL
(41.791994, -87.656015)"
20-19-113-013-0000,6435,S,HOYNE,AVE,3002,16,WEST ENGLEWOOD,RS-3,63rd/Ashland,"6435 S HOYNE AVE
CHICAGO, IL
(41.776428, -87.676261)"
20-17-314-009-0000,6021,S,THROOP,ST,3115,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"6021 S THROOP ST
CHICAGO, IL
(41.784307, -87.657053)"
20-17-301-008-0000,1507,W,59TH,ST,3126,16,WEST ENGLEWOOD,B3-1,63rd/Ashland,"1507 W 59TH ST
CHICAGO, IL
(41.786804, -87.662368)"
20-20-310-018-0000,6845,S,LAFLIN,ST,3111,17,WEST ENGLEWOOD,RS-3,NOT IN TIF,"6845 S LAFLIN ST
CHICAGO, IL
(41.769596, -87.661545)"
20-19-203-031-0000,6334,S,WOOD,ST,3067,15,WEST ENGLEWOOD,RS-3,63rd/Ashland,"6334 S WOOD ST
CHICAGO, IL
(41.778383, -87.669041)"
20-18-404-038-0000,5938,S,HERMITAGE,AVE,3108,15,WEST ENGLEWOOD,RS-3,63rd/Ashland,"5938 S HERMITAGE AVE
CHICAGO, IL
(41.785602, -87.667993)"
20-20-117-006-0000,6611,S,JUSTINE,ST,3100,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"6611 S JUSTINE ST
CHICAGO, IL
(41.773612, -87.662852)"
20-20-400-009-0000,6721,S,RACINE,AVE,3116,16,ENGLEWOOD,RS-3,NOT IN TIF,"6721 S RACINE AVE
CHICAGO, IL
(41.7717, -87.654307)"
20-19-206-038-0000,6344,S,MARSHFIELD,,3081,15,WEST ENGLEWOOD,RS-3,63rd/Ashland,"6344 S MARSHFIELD
CHICAGO, IL
(41.778407, -87.665452)"
20-17-208-022-0000,5653,S,RACINE,AVE,3122,16,ENGLEWOOD,RS-3,Englewood Neighborhood,"5653 S RACINE AVE
CHICAGO, IL
(41.790822, -87.654788)"
20-17-115-043-0000,5648,S,RACINE,AVE,3113,16,WEST ENGLEWOOD,B1-1,NOT IN TIF,"5648 S RACINE AVE
CHICAGO, IL
(41.790986, -87.654791)"
20-17-103-012-0000,5527,S,BISHOP,ST,3123,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"5527 S BISHOP ST
CHICAGO, IL
(41.792814, -87.660901)"
20-20-317-017-0000,6935,S,JUSTINE,ST,3104,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"6935 S JUSTINE ST
CHICAGO, IL
(41.767506, -87.662702)"
20-18-229-003-0000,5809,S,HERMITAGE,,3117,15,WEST ENGLEWOOD,RS-3,NOT IN TIF,"5809 S HERMITAGE
CHICAGO, IL
(41.788198, -87.668062)"
20-17-208-006-0000,5613,S,RACINE,AVE,3122,16,ENGLEWOOD,B3-2,Englewood Neighborhood,"5613 S RACINE AVE
CHICAGO, IL
(41.791915, -87.654809)"
20-19-406-017-0000,6735,S,PAULINA,ST,3073,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"6735 S PAULINA ST
CHICAGO, IL
(41.771081, -87.666441)"
20-20-310-030-0000,6828,S,BISHOP,ST,3127,17,WEST ENGLEWOOD,RS-3,NOT IN TIF,"6828 S BISHOP ST
CHICAGO, IL
(41.769905, -87.660323)"
20-19-211-037-0000,6436,S,WOOD,ST,3072,15,WEST ENGLEWOOD,RS-3,63rd/Ashland,"6436 S WOOD ST
CHICAGO, IL
(41.776418, -87.668983)"
20-18-411-032-0000,6022,S,WOOD,ST,3108,15,WEST ENGLEWOOD,RS-3,63rd/Ashland,"6022 S WOOD ST
CHICAGO, IL
(41.784204, -87.669156)"
20-20-309-002-0000,6803,S,JUSTINE,ST,3126,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"6803 S JUSTINE ST
CHICAGO, IL
(41.7702, -87.662794)"
20-17-303-019-0000,5918,S,LOOMIS,BLVD,3607,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"5918 S LOOMIS BLVD
CHICAGO, IL
(41.78623, -87.65953)"
20-17-224-023-0000,1154,W,59TH,ST,3120,16,ENGLEWOOD,C1-1,Englewood Neighborhood,"1154 W 59TH ST
CHICAGO, IL
(41.786908, -87.654389)"
20-20-109-018-0000,6443,S,JUSTINE,,3093,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"6443 S JUSTINE
CHICAGO, IL
(41.7769, -87.662926)"
20-20-107-004-0000,1219,W,63RD,ST,3104,16,WEST ENGLEWOOD,C1-2,Englewood Neighborhood,"1219 W 63RD ST
CHICAGO, IL
(41.779608, -87.655216)"
20-17-100-013-0000,5545,S,ASHLAND,AVE,2900,16,WEST ENGLEWOOD,B3-2,63rd/Ashland,"5545 S ASHLAND AVE
CHICAGO, IL
(41.79307, -87.664464)"
20-20-113-024-0000,6502,S,LAFLIN,ST,3096,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"6502 S LAFLIN ST
CHICAGO, IL
(41.775572, -87.661673)"
20-17-327-037-0000,1448,W,63RD,ST,3126,16,WEST ENGLEWOOD,PD 911,63rd/Ashland,"1448 W 63RD ST
CHICAGO, IL
(41.779526, -87.661196)"
20-19-205-011-0000,6321,S,HERMITAGE,AVE,3076,15,WEST ENGLEWOOD,RS-3,63rd/Ashland,"6321 S HERMITAGE AVE
CHICAGO, IL
(41.778823, -87.667896)"
20-17-130-024-0000,5830,S,ELIZABETH,ST,3319,16,WEST ENGLEWOOD,M1-1,NOT IN TIF,"5830 S ELIZABETH ST
CHICAGO, IL
(41.787621, -87.655928)"
20-19-413-041-0000,1712,W,69TH,ST,3126,17,WEST ENGLEWOOD,B3-1,NOT IN TIF,"1712 W 69TH ST
CHICAGO, IL
(41.768515, -87.667015)"
20-29-109-034-0000,1264,W,72ND,ST,3140,6,WEST ENGLEWOOD,RS-2,NOT IN TIF,"1264 W 72ND ST
CHICAGO, IL
(41.763207, -87.656585)"
20-20-327-010-0000,7027,S,BISHOP,ST,3115,17,WEST ENGLEWOOD,RS-3,NOT IN TIF,"7027 S BISHOP ST
CHICAGO, IL
(41.765938, -87.660219)"
20-18-419-019-0000,6149,S,HONORE,ST,4036,15,WEST ENGLEWOOD,RS-3,63rd/Ashland,"6149 S HONORE ST
CHICAGO, IL
(41.781649, -87.670332)"
20-19-216-036-0000,6538,S,WINCHESTER,,3561,15,WEST ENGLEWOOD,RS-3,NOT IN TIF,"6538 S WINCHESTER
CHICAGO, IL
(41.775018, -87.672595)"
20-19-401-030-0000,6720,S,WOLCOTT,,3103,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"6720 S WOLCOTT
CHICAGO, IL
(41.771366, -87.671289)"
20-18-428-025-0000,6228,S,HERMITAGE,AVE,3100,15,WEST ENGLEWOOD,RS-3,63rd/Ashland,"6228 S HERMITAGE AVE
CHICAGO, IL
(41.780281, -87.667864)"
20-18-226-002-0000,1855,W,58TH,ST,3160,15,WEST ENGLEWOOD,RS-3,NOT IN TIF,"1855 W 58TH ST
CHICAGO, IL
(41.788499, -87.671446)"
20-19-206-013-0000,6325,S,PAULINA,,3075,15,WEST ENGLEWOOD,RS-3,63rd/Ashland,"6325 S PAULINA
CHICAGO, IL
(41.778548, -87.666679)"
20-19-413-038-0000,1712,W,69TH,ST,3124,17,WEST ENGLEWOOD,B3-1,NOT IN TIF,"1712 W 69TH ST
CHICAGO, IL
(41.768515, -87.667015)"
20-17-116-003-0000,5711,S,ASHLAND,AVE,5666,16,WEST ENGLEWOOD,PD 1142,63rd/Ashland,"5711 S ASHLAND AVE
CHICAGO, IL
(41.790014, -87.664405)"
20-29-129-025-0000,1221,W,73RD,PL,3119,17,WEST ENGLEWOOD,RS-2,NOT IN TIF,"1221 W 73RD PL
CHICAGO, IL
(41.760484, -87.654824)"
20-17-313-011-0000,6059,S,ADA,ST,3112,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"6059 S ADA ST
CHICAGO, IL
(41.783305, -87.658286)"
20-19-208-034-0000,6432,S,WINCHESTER,AVE,2927,15,WEST ENGLEWOOD,RS-3,63rd/Ashland,"6432 S WINCHESTER AVE
CHICAGO, IL
(41.776557, -87.672639)"
20-19-418-004-0000,1851,W,69TH,ST,3000,17,WEST ENGLEWOOD,RS-3,NOT IN TIF,"1851 W 69TH ST
CHICAGO, IL
(41.768474, -87.670692)"
20-20-103-001-0000,1425,W,63RD,ST,12248,16,WEST ENGLEWOOD,PD 911,63rd/Ashland,"1425 W 63RD ST
CHICAGO, IL
(41.779538, -87.660378)"
20-18-419-037-0000,6136,S,WOOD,ST,3106,15,WEST ENGLEWOOD,RS-3,63rd/Ashland,"6136 S WOOD ST
CHICAGO, IL
(41.782003, -87.669101)"
20-19-112-027-0000,6410,S,HOYNE,,3143,16,WEST ENGLEWOOD,RS-3,63rd/Ashland,"6410 S HOYNE
CHICAGO, IL
(41.777299, -87.676286)"
20-18-412-037-0000,1756,W,61ST,ST,4014,15,WEST ENGLEWOOD,RT-4,63rd/Ashland,"1756 W 61ST ST
CHICAGO, IL
(41.783044, -87.668951)"
20-18-404-011-0000,5917,S,WOOD,ST,3694,15,WEST ENGLEWOOD,RS-3,63rd/Ashland,"5917 S WOOD ST
CHICAGO, IL
(41.786413, -87.669215)"
20-18-420-043-0000,6148,S,HERMITAGE,AVE,3102,15,WEST ENGLEWOOD,RS-3,63rd/Ashland,"6148 S HERMITAGE AVE
CHICAGO, IL
(41.781708, -87.667893)"
20-17-312-029-0000,6026,S,ADA,ST,3127,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"6026 S ADA ST
CHICAGO, IL
(41.784073, -87.658277)"
20-18-227-002-0000,1823,W,58,ST,3278,15,WEST ENGLEWOOD,RS-3,NOT IN TIF,"1823 W 58 ST
CHICAGO, IL
(41.788506, -87.670309)"
20-17-400-027-0000,5959,S,RACINE,AVE,3121,16,ENGLEWOOD,RS-3,Englewood Neighborhood,"5959 S RACINE AVE
CHICAGO, IL
(41.785196, -87.654666)"
20-17-125-017-0000,5808,S,LAFLIN,ST,3074,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"5808 S LAFLIN ST
CHICAGO, IL
(41.788269, -87.661976)"
20-17-302-001-0000,5901,S,LAFLIN,ST,14125,16,WEST ENGLEWOOD,C1-1,63rd/Ashland,"5901 S LAFLIN ST
CHICAGO, IL
(41.786545, -87.661945)"
20-17-121-002-0000,5703,S,ADA,ST,3115,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"5703 S ADA ST
CHICAGO, IL
(41.790354, -87.658415)"
20-19-410-041-0000,1846,W,69TH,ST,3128,17,WEST ENGLEWOOD,B3-1,NOT IN TIF,"1846 W 69TH ST
CHICAGO, IL
(41.768475, -87.670602)"
20-17-109-041-0000,5650,S,LAFLIN,ST,3084,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"5650 S LAFLIN ST
CHICAGO, IL
(41.790778, -87.662023)"
20-20-325-039-0000,1512,W,71ST,ST,3123,17,WEST ENGLEWOOD,RS-3,NOT IN TIF,"1512 W 71ST ST
CHICAGO, IL
(41.764944, -87.661969)"
20-19-206-003-0000,1653,W,63RD,ST,3240,15,WEST ENGLEWOOD,B3-2,63rd/Ashland,"1653 W 63RD ST
CHICAGO, IL
(41.779416, -87.666217)"
20-17-325-022-0000,6216,S,JUSTINE,ST,3045,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"6216 S JUSTINE ST
CHICAGO, IL
(41.780804, -87.663036)"
20-19-422-007-0000,1643,W,69TH,ST,3124,17,WEST ENGLEWOOD,B3-1,NOT IN TIF,"1643 W 69TH ST
CHICAGO, IL
(41.768535, -87.665591)"
20-18-419-038-0000,6138,S,WOOD,ST,3102,15,WEST ENGLEWOOD,RS-3,63rd/Ashland,"6138 S WOOD ST
CHICAGO, IL
(41.782038, -87.669102)"
20-18-413-036-0000,6042,S,PAULINA,,3920,15,WEST ENGLEWOOD,RS-3,63rd/Ashland,"6042 S PAULINA
CHICAGO, IL
(41.783476, -87.666736)"
20-19-204-031-0000,6332,S,HERMITAGE,AVE,3095,15,WEST ENGLEWOOD,RS-3,63rd/Ashland,"6332 S HERMITAGE AVE
CHICAGO, IL
(41.778511, -87.667887)"
20-19-105-009-0000,2101,W,63RD,ST,3436,16,WEST ENGLEWOOD,RT-4A,63rd/Ashland,"2101 W 63RD ST
CHICAGO, IL
(41.779283, -87.676493)"
20-30-224-007-0000,1601,W,74,ST,61603,17,WEST ENGLEWOOD,M2-2,79th Street Corridor,"1601 W 74 ST
CHICAGO, IL
(41.75945, -87.664651)"
20-20-301-024-0000,6747,S,JUSTINE,ST,3112,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"6747 S JUSTINE ST
CHICAGO, IL
(41.770815, -87.6628)"
20-20-317-019-0000,6937,S,JUSTINE,ST,3106,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"6937 S JUSTINE ST
CHICAGO, IL
(41.767458, -87.662701)"
20-18-430-027-0000,6240,S,MARSHFIELD,AVE,3116,15,WEST ENGLEWOOD,RS-3,63rd/Ashland,"6240 S MARSHFIELD AVE
CHICAGO, IL
(41.78007, -87.665462)"
20-29-132-050-0000,1218,W,74TH,PL,3114,17,WEST ENGLEWOOD,RS-2,79th Street Corridor,"1218 W 74TH PL
CHICAGO, IL
(41.758671, -87.654573)"
20-20-329-009-0000,7025,S,ADA,ST,3107,6,WEST ENGLEWOOD,RS-3,NOT IN TIF,"7025 S ADA ST
CHICAGO, IL
(41.766082, -87.657779)"
20-17-129-020-0000,1310,W,59TH,ST,37298,16,WEST ENGLEWOOD,M1-1,NOT IN TIF,"1310 W 59TH ST
CHICAGO, IL
(41.786865, -87.657695)"
20-19-401-018-0000,6735,S,WINCHESTER,AVE,3098,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"6735 S WINCHESTER AVE
CHICAGO, IL
(41.771021, -87.672486)"
20-19-419-002-0000,1823,W,69TH,ST,3000,17,WEST ENGLEWOOD,RS-3,NOT IN TIF,"1823 W 69TH ST
CHICAGO, IL
(41.76849, -87.669665)"
20-17-329-035-0000,1338,W,63RD,ST,11859,16,WEST ENGLEWOOD,PD 911,NOT IN TIF,"1338 W 63RD ST
CHICAGO, IL
(41.779559, -87.658711)"
20-18-425-031-0000,6234,S,WOLCOTT,AVE,9332,15,WEST ENGLEWOOD,RS-3,63rd/Ashland,"6234 S WOLCOTT AVE
CHICAGO, IL
(41.780125, -87.671501)"
20-19-203-029-0000,6328,S,WOOD,ST,3068,15,WEST ENGLEWOOD,RS-3,63rd/Ashland,"6328 S WOOD ST
CHICAGO, IL
(41.778519, -87.669045)"
20-20-102-003-0000,1447,W,63RD,ST,3124,16,WEST ENGLEWOOD,B3-2,63rd/Ashland,"1447 W 63RD ST
CHICAGO, IL
(41.779528, -87.661095)"
20-20-408-014-0000,6833,S,RACINE,AVE,3125,16,ENGLEWOOD,B1-1,NOT IN TIF,"6833 S RACINE AVE
CHICAGO, IL
(41.769506, -87.654246)"
20-20-330-026-0000,7006,S,ELIZABETH,ST,3111,6,WEST ENGLEWOOD,RS-3,NOT IN TIF,"7006 S ELIZABETH ST
CHICAGO, IL
(41.766617, -87.655356)"
20-17-329-036-0000,1334,W,63RD,ST,2965,16,WEST ENGLEWOOD,PD 911,NOT IN TIF,"1334 W 63RD ST
CHICAGO, IL
(41.779562, -87.658466)"
20-17-424-004-0000,6213,S,RACINE,AVE,9321,16,ENGLEWOOD,C1-1,Englewood Neighborhood,"6213 S RACINE AVE
CHICAGO, IL
(41.780865, -87.65455)"
20-17-115-044-0000,5648,S,RACINE,,3113,16,WEST ENGLEWOOD,B1-1,NOT IN TIF,"5648 S RACINE
CHICAGO, IL
(41.791479, -87.654801)"
20-20-309-008-0000,6819,S,JUSTINE,ST,3127,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"6819 S JUSTINE ST
CHICAGO, IL
(41.769792, -87.662777)"
20-19-208-036-0000,6436,S,WINCHESTER,,3053,15,WEST ENGLEWOOD,RS-3,63rd/Ashland,"6436 S WINCHESTER
CHICAGO, IL
(41.776873, -87.672649)"
20-19-203-003-0000,1817,W,63,ST,3526,15,WEST ENGLEWOOD,B3-2,63rd/Ashland,"1817 W 63 ST
CHICAGO, IL
(41.779336, -87.669761)"
20-30-203-029-0000,7159,S,HONORE,,3120,17,WEST ENGLEWOOD,RS-2,NOT IN TIF,"7159 S HONORE
CHICAGO, IL
(41.763575, -87.66987)"
20-20-305-030-0000,6726,S,THROOP,,3116,17,WEST ENGLEWOOD,RS-3,NOT IN TIF,"6726 S THROOP
CHICAGO, IL
(41.771824, -87.656737)"
20-17-327-036-0000,1450,W,63RD,ST,3126,16,WEST ENGLEWOOD,PD 911,63rd/Ashland,"1450 W 63RD ST
CHICAGO, IL
(41.779525, -87.66131)"
20-19-421-006-0000,1711,W,69TH,ST,3125,17,WEST ENGLEWOOD,B3-1,NOT IN TIF,"1711 W 69TH ST
CHICAGO, IL
(41.768517, -87.666929)"
20-19-420-007-0000,1741,W,69TH,ST,3127,17,WEST ENGLEWOOD,B3-1,NOT IN TIF,"1741 W 69TH ST
CHICAGO, IL
(41.768507, -87.667912)"
20-20-107-002-0000,1223,W,63RD,ST,3103,16,WEST ENGLEWOOD,C1-2,Englewood Neighborhood,"1223 W 63RD ST
CHICAGO, IL
(41.779605, -87.655384)"
20-17-301-002-0000,1521,W,59,ST,3126,16,WEST ENGLEWOOD,B3-1,63rd/Ashland,"1521 W 59 ST
CHICAGO, IL
(41.786797, -87.662817)"
20-18-412-002-0000,6003,S,WOOD,ST,3107,15,WEST ENGLEWOOD,RS-3,63rd/Ashland,"6003 S WOOD ST
CHICAGO, IL
(41.784718, -87.669175)"
20-20-303-021-0000,6743,S,BISHOP,,3110,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"6743 S BISHOP
CHICAGO, IL
(41.771348, -87.660379)"
20-19-426-029-0000,7008,S,HONORE,ST,3117,17,WEST ENGLEWOOD,RS-3,NOT IN TIF,"7008 S HONORE ST
CHICAGO, IL
(41.766268, -87.669927)"
20-19-206-009-0000,1637,W,63RD,ST,9605,15,WEST ENGLEWOOD,B3-2,63rd/Ashland,"1637 W 63RD ST
CHICAGO, IL
(41.77945, -87.665646)"
20-19-231-034-0000,6600,S,ASHLAND,AVE,12333,15,WEST ENGLEWOOD,C1-2,63rd/Ashland,"6600 S ASHLAND AVE
CHICAGO, IL
(41.773899, -87.664153)"
20-17-313-006-0000,6047,S,ADA,ST,3112,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"6047 S ADA ST
CHICAGO, IL
(41.78358, -87.658279)"
20-17-114-027-0000,5604,S,ELIZABETH,ST,3120,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"5604 S ELIZABETH ST
CHICAGO, IL
(41.792075, -87.656018)"
20-17-329-004-0000,6209,S,LOOMIS,,2924,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"6209 S LOOMIS
CHICAGO, IL
(41.78086, -87.659413)"
20-19-400-028-0000,6714,S,WINCHESTER,,3107,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"6714 S WINCHESTER
CHICAGO, IL
(41.771234, -87.672495)"
20-18-411-010-0000,6025,S,HONORE,ST,3105,15,WEST ENGLEWOOD,RS-3,63rd/Ashland,"6025 S HONORE ST
CHICAGO, IL
(41.784065, -87.670387)"
20-17-305-003-0000,1325,W,59TH,ST,3126,16,WEST ENGLEWOOD,C1-1,NOT IN TIF,"1325 W 59TH ST
CHICAGO, IL
(41.786864, -87.658096)"
20-17-326-002-0000,6203,S,JUSTINE,ST,3089,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"6203 S JUSTINE ST
CHICAGO, IL
(41.781168, -87.663048)"
20-17-119-029-0000,5710,S,LOOMIS,BLVD,3119,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"5710 S LOOMIS BLVD
CHICAGO, IL
(41.790055, -87.659618)"
20-17-122-045-0000,5752,S,ELIZABETH,ST,3117,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"5752 S ELIZABETH ST
CHICAGO, IL
(41.788964, -87.655941)"
20-18-406-041-0000,5946,S,MARSHFIELD,AVE,3120,15,WEST ENGLEWOOD,RS-3,63rd/Ashland,"5946 S MARSHFIELD AVE
CHICAGO, IL
(41.785402, -87.665559)"
20-18-214-013-0000,5633,S,PAULINA,,3120,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"5633 S PAULINA
CHICAGO, IL
(41.791617, -87.66693)"
20-19-420-008-0000,1739,W,69TH,ST,3123,17,WEST ENGLEWOOD,B3-1,NOT IN TIF,"1739 W 69TH ST
CHICAGO, IL
(41.768508, -87.667835)"
20-19-412-020-0000,6802,S,HERMITAGE,,3115,17,WEST ENGLEWOOD,RS-3,NOT IN TIF,"6802 S HERMITAGE
CHICAGO, IL
(41.770291, -87.667586)"
20-18-426-016-0000,6243,S,WOLCOTT,AVE,3104,15,WEST ENGLEWOOD,RS-3,63rd/Ashland,"6243 S WOLCOTT AVE
CHICAGO, IL
(41.779884, -87.671493)"
20-18-212-030-0000,5620,S,HERMITAGE,AVE,3127,15,WEST ENGLEWOOD,RS-3,NOT IN TIF,"5620 S HERMITAGE AVE
CHICAGO, IL
(41.791591, -87.668138)"
20-19-205-012-0000,6321,S,HERMITAGE,AVE,3073,15,WEST ENGLEWOOD,RS-3,63rd/Ashland,"6321 S HERMITAGE AVE
CHICAGO, IL
(41.778823, -87.667896)"
20-18-420-046-0000,6154,S,HERMITAGE,AVE,3101,15,WEST ENGLEWOOD,RS-3,63rd/Ashland,"6154 S HERMITAGE AVE
CHICAGO, IL
(41.781498, -87.667887)"
20-19-105-031-0000,6324,S,HOYNE,AVE,3135,16,WEST ENGLEWOOD,RS-3,63rd/Ashland,"6324 S HOYNE AVE
CHICAGO, IL
(41.778522, -87.676299)"
20-17-312-043-0000,1338,W,61ST,ST,2713,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"1338 W 61ST ST
CHICAGO, IL
(41.783192, -87.658551)"
20-20-308-036-0000,1548,W,69TH,ST,3124,16,WEST ENGLEWOOD,B3-1,63rd/Ashland,"1548 W 69TH ST
CHICAGO, IL
(41.768566, -87.663347)"
20-20-113-016-0000,6541,S,JUSTINE,ST,3085,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"6541 S JUSTINE ST
CHICAGO, IL
(41.774673, -87.662865)"
20-20-312-024-0000,6812,S,ADA,ST,3108,17,WEST ENGLEWOOD,RS-3,NOT IN TIF,"6812 S ADA ST
CHICAGO, IL
(41.769928, -87.657875)"
20-20-103-007-0000,1407,W,63RD,ST,6247,16,WEST ENGLEWOOD,PD 911,63rd/Ashland,"1407 W 63RD ST
CHICAGO, IL
(41.779547, -87.659765)"
20-19-430-038-0000,1650,W,71ST,ST,3128,17,WEST ENGLEWOOD,RS-3,NOT IN TIF,"1650 W 71ST ST
CHICAGO, IL
(41.764898, -87.665884)"
20-19-422-011-0000,6911,S,PAULINA,ST,3111,17,WEST ENGLEWOOD,RS-3,NOT IN TIF,"6911 S PAULINA ST
CHICAGO, IL
(41.76792, -87.666324)"
20-17-114-020-0000,5649,S,THROOP,,3119,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"5649 S THROOP
CHICAGO, IL
(41.791459, -87.657242)"
20-17-110-018-0000,5643,S,LAFLIN,ST,3087,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"5643 S LAFLIN ST
CHICAGO, IL
(41.790967, -87.662025)"
20-19-421-031-0000,6920,S,PAULINA,ST,3061,17,WEST ENGLEWOOD,RS-3,NOT IN TIF,"6920 S PAULINA ST
CHICAGO, IL
(41.767851, -87.666323)"
20-18-403-039-0000,5942,S,WOOD,ST,2984,15,WEST ENGLEWOOD,RS-3,63rd/Ashland,"5942 S WOOD ST
CHICAGO, IL
(41.785381, -87.669193)"
20-20-315-010-0000,6827,S,ELIZABETH,ST,3100,17,WEST ENGLEWOOD,RS-3,NOT IN TIF,"6827 S ELIZABETH ST
CHICAGO, IL
(41.769682, -87.655459)"
20-17-329-001-0000,6201,S,LOOMIS,BLVD,2924,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"6201 S LOOMIS BLVD
CHICAGO, IL
(41.781161, -87.659417)"
20-18-412-023-0000,6010,S,HERMITAGE,AVE,3106,15,WEST ENGLEWOOD,RS-3,63rd/Ashland,"6010 S HERMITAGE AVE
CHICAGO, IL
(41.784472, -87.667984)"
20-17-313-010-0000,6057,S,ADA,ST,3112,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"6057 S ADA ST
CHICAGO, IL
(41.783361, -87.658285)"
20-19-404-030-0000,6752,S,HERMITAGE,AVE,3110,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"6752 S HERMITAGE AVE
CHICAGO, IL
(41.770574, -87.667599)"
20-19-402-029-0000,6714,S,HONORE,ST,3117,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"6714 S HONORE ST
CHICAGO, IL
(41.77161, -87.670085)"
20-19-212-011-0000,6431,S,WOOD,ST,3714,15,WEST ENGLEWOOD,RS-3,63rd/Ashland,"6431 S WOOD ST
CHICAGO, IL
(41.776714, -87.668991)"
20-17-127-001-0000,5801,S,BISHOP,ST,3117,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"5801 S BISHOP ST
CHICAGO, IL
(41.788521, -87.660787)"
20-18-112-031-0000,5636,S,DAMEN,AVE,3635,15,WEST ENGLEWOOD,RS-3,NOT IN TIF,"5636 S DAMEN AVE
CHICAGO, IL
(41.791042, -87.674222)"
20-17-128-017-0000,1336,W,59TH,ST,3326,16,WEST ENGLEWOOD,M1-1,NOT IN TIF,"1336 W 59TH ST
CHICAGO, IL
(41.78686, -87.658605)"
20-19-420-005-0000,1745,W,69TH,ST,6250,17,WEST ENGLEWOOD,B3-1,NOT IN TIF,"1745 W 69TH ST
CHICAGO, IL
(41.768507, -87.668145)"
20-18-416-023-0000,6100,S,WINCHESTER,AVE,2953,16,WEST ENGLEWOOD,RS-3,63rd/Ashland,"6100 S WINCHESTER AVE
CHICAGO, IL
(41.782877, -87.672776)"
20-19-430-031-0000,7030,S,MARSHFIELD,AVE,3058,17,WEST ENGLEWOOD,RS-3,NOT IN TIF,"7030 S MARSHFIELD AVE
CHICAGO, IL
(41.765665, -87.665077)"
20-17-424-035-0000,1148,W,63RD,ST,3126,16,ENGLEWOOD,C1-2,Englewood Neighborhood,"1148 W 63RD ST
CHICAGO, IL
(41.779621, -87.654475)"
20-18-425-032-0000,6242,S,WOLCOTT,AVE,6223,15,WEST ENGLEWOOD,RS-3,63rd/Ashland,"6242 S WOLCOTT AVE
CHICAGO, IL
(41.779976, -87.671496)"
