Organization Name,Address,Street,City,State,Zip,X,Y,Description of Services Provided in Englewood,Family Stability,Foster care,Adoption services,Family support,Safe Place to Live,Provision of Food/clothing,Education,High School/GED Completion,Tutoring/homework help,Parenting classes/workshops,Leadership/character development programs (through mentoring),Service learning,College/career prep,Academic counseling,Enrichment field trips,Early childhood,Home visiting,Behavioral/self-management programs/workshops,Student clubs or curriculum enhancement (not tutoring),Arts/language programs,Health,"Preventive health visits (includes prenatal, dental/vision)",Vaccinations,Cessation programs,Nutrition & Wellness programs/counseling,Management of chronic conditions,Mental health counseling (general),Family & child counseling,Sexual assault counseling,Domestic violence support/counseling,Anger management counseling,Physical activity/sports,Family planning,HIV/AIDS programs,Substance abuse/addiction treatment,Public Safety,Engage youth to prevent gang participation,Workshops focused on violence prevention,Economic,Job training,youth employment (internships),Job placement (long-term),Dance,Media Arts,Music,OtherDiscipline,Theater,Visual Arts,DIscNA,Field Trips,In School Performance,Other Services,After School Programs,Professional development,Residency,Resources,Writing/poetry,Arts & crafts
Christ Center of Truth ,"402 W 71st St, Chicago, Illinois, 60621",402 W 71st St,Chicago,Illinois,60621,-87.634872,41.765375,"Administers afterschool program ""Gateway To Success,"" which reaches provides homework help, tutoring in reading, writing and math.  They also include educational movies, interesting field trips in and out of Chicago, arts and crafts, and spelling bees. ",,,,,,,1,,1,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
National Veterans Art Museum,"4041 N Milwaukee Ave, Chicago, Illinois, 60641",4041 N Milwaukee Ave,Chicago,Illinois,60641,-87.748736,41.954296,"Works through schools to provide media arts, visual arts,, field trips, after school programs, professional development, and other services and resources.",,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,1,0,1,1,1,1,1,1,1,,
Chicago Youth Symphony Orchestras,"410 S Michigan Ave, Chicago, Illinois, 60605",410 S Michigan Ave,Chicago,Illinois,60605,-87.624398,41.87626,Works through schools to provide arts programming (see detailed list under program types for specific programs).,,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,1,1,1,1,1,1,1,,
Natya Dance Theatre,"410 S Michigan Ave, Chicago, Illinois, 60605",410 S Michigan Ave,Chicago,Illinois,60605,-87.624398,41.87626,Works through schools to provide arts programming (see detailed list under program types for specific programs).,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,1,0,0,0,1,0,,
Ravinia,"418 Sheridan Rd, Highland Park, Illinois, 60035",418 Sheridan Rd,Highland Park,Illinois,60035,-87.772738,42.159679,Works through schools to provide arts programming (see detailed list under program types for specific programs).,,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,1,1,1,1,1,1,1,,
Intonation Music,"4434 S Lake Park Ave, Chicago, Illinois, 60653",4434 S Lake Park Ave,Chicago,Illinois,60653,-87.596785,41.814027,Works through schools to provide arts programming (see detailed list under program types for specific programs).,,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,1,1,1,1,0,1,1,,
Black Ensemble Theater,"4450 N Clark St, Chicago, Illinois, 60640",4450 N Clark St,Chicago,Illinois,60640,-87.666317,41.963243,Works through schools to provide arts programming (see detailed list under program types for specific programs).,,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,1,0,1,1,1,1,1,,
Old Town School of Folk Music,"4544 N Lincoln Ave, Chicago, Illinois, 60625",4544 N Lincoln Ave,Chicago,Illinois,60625,-87.68582,41.964393,Works through schools to provide arts programming (see detailed list under program types for specific programs).,,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,0,1,1,1,1,1,1,1,,
WIC Food and Nutrition Center ,"4622 W Diversey Ave, Chicago, Illinois, 60639",4622 W Diversey Ave,Chicago,Illinois,60639,-87.74249,41.931624,"Provides WIC enrollment services, provision of food, nutrition education, and coordination of care.",1,,,,,1,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harold Washington Cultural Center,"4701 S Dr Martin Luther King Jr Dr, Chicago, Illinois, 60615",4701 S Dr Martin Luther King Jr Dr,Chicago,Illinois,60615,-87.616259,41.809302,Works through schools to provide arts programming (see detailed list under program types for specific programs).,,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,0,1,1,1,1,0,0,1,,
"Alternatives, Inc.","4730 N Sheridan Rd, Chicago, Illinois, 60640",4730 N Sheridan Rd,Chicago,Illinois,60640,-87.654859,41.968169,"Programs include individual and group counseling, substance abuse treatment, family intervention, career and employment services, Girl World (youth development activities for girls), youth collaboration, preventive programs, restorative justice, and an arts program.",,,,,,,1,,,,1,,,,,,,1,,1,1,,,,,,1,1,,,,,,,1,,,,1,1,1,1,,,,,,,,,,,,,,,,
Lawrence Hall,"4833 N Francisco Ave, Chicago, Illinois, 60625",4833 N Francisco Ave,Chicago,Illinois,60625,-87.700314,41.969232,"Programs include foster care programs, independent living programs, transitional living program, residential treatment facility for youth in care of the state, and  a therapeutic day school for CPS students. In addition there are workforce development programs working primarily with opportunity (at-risk) youth. ",1,1,,,,,1,,,,,,,,,,,,,,1,,,,,,1,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,
Auditorium Theatre,"50 E Congress Pkwy, Chicago, Illinois, 60605",50 E Congress Pkwy,Chicago,Illinois,60605,-87.625512,41.875778,Works through schools to provide arts programming (see detailed list under program types for specific programs).,,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,0,1,1,1,1,1,1,1,,
"Appeal For Charities And Goodwill, Inc.","50 W 71st St, Chicago, Illinois, 60621",50 W 71st St,Chicago,Illinois,60621,-87.627131,41.76555,Early childhood program,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicago Humanities Festival,"500 N Dearborn St, Chicago, Illinois, 60654",500 N Dearborn St,Chicago,Illinois,60654,-87.629668,41.89113,Works through schools to provide arts programming (see detailed list under program types for specific programs).,,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,0,1,1,0,0,1,0,1,,
Children's Museum in Oak Lawn,"5100 Museum Dr, Oak Lawn, Illinois, 60453",5100 Museum Dr,Oak Lawn,Illinois,60453,-87.747322,41.719891,"Works through schools to provide theater, field trips, and resources.",,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,1,0,0,0,0,0,1,,
Childserv -- Chicago South,"5401 S Wentworth Ave, Chicago, Illinois, 60609",5401 S Wentworth Ave,Chicago,Illinois,60609,-87.630511,41.796062,"Programs include early childhood, foster care support, adoption support, teen mom program, mental health counseling, and preventive health programs.",1,1,1,,,,1,,,1,,,,,,1,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sherman Park Library,"5440 S Racine Ave, Chicago, Illinois, 60609",5440 S Racine Ave,Chicago,Illinois,60609,-87.654934,41.795263,"Provides homework help, computer literacy assistance, and fishing poles.",,,,,,,1,,1,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Hope HS,"5515 S Lowe Ave, Chicago, Illinois, 60621",5515 S Lowe Ave,Chicago,Illinois,60621,-87.641461,41.793631,Offers out of school time programs (see program type details for specific detail). ,,,,,,,1,,1,,,,,1,,,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
KIPP Chicago - Bloom,"5515 S Lowe Ave, Chicago, Illinois, 60621",5515 S Lowe Ave,Chicago,Illinois,60621,-87.641461,41.793631,Offers out of school time programs (see program type details for specific detail). ,,,,,,,1,,,,,,1,,,,,1,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Allison's (On Racine),"5522 S Racine Ave, Chicago, Illinois, 60636",5522 S Racine Ave,Chicago,Illinois,60636,-87.654889,41.79309,Head Start and Early Head Start,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Court Theatre,"5535 S Ellis Ave, Chicago, Illinois, 60637",5535 S Ellis Ave,Chicago,Illinois,60637,-87.601307,41.794396,Works through schools to provide arts programming (see detailed list under program types for specific programs).,,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,1,1,1,1,0,1,1,,
Smart Museum of Art,"5550 S Greenwood Ave, Chicago, Illinois, 60637",5550 S Greenwood Ave,Chicago,Illinois,60637,-87.599793,41.794722,"Works through schools to provide visual arts, field trips, after school programs, professional development, and other services and resources.",,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,1,0,1,1,1,1,1,,
Henderson,"5650 S Wolcott Ave, Chicago, Illinois, 60636",5650 S Wolcott Ave,Chicago,Illinois,60636,-87.671798,41.790916,Offers out of school time programs (see program type details for specific detail). ,,,,,,,1,,1,1,1,,,,,,,,1,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
First Start Children's Academy South,"5700 S Ashland Ave, Chicago, Illinois, 60636",5700 S Ashland Ave,Chicago,Illinois,60636,-87.664528,41.790219,Head Start and Early Head Start,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Museum of Science and Industry,"5700 S Lake Shore Dr, Chicago, Illinois, 60637",5700 S Lake Shore Dr,Chicago,Illinois,60637,-87.579695,41.79077,"Works through schools to provide field trips, professional development, and resources.",,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,0,0,0,1,0,1,,
Sherwood Park,"5701 S Shields Ave, Chicago, Illinois, 60621",5701 S Shields Ave,Chicago,Illinois,60621,-87.634041,41.791441,"Programs include seasonal sports, a nutrition program, gymnastics, Teen Club and summer camps.
",,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Southwood Interventions,"5701 S Wood St, Chicago, Illinois, 60636",5701 S Wood St,Chicago,Illinois,60636,-87.669315,41.790512,"Provides services to adult male and female substance users, offering a full continuum of services from detox, to residential, and outpatient programming.",,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Shepherd's Hope Ltd,"5732 S Lowe Ave, Chicago, Illinois, 60621",5732 S Lowe Ave,Chicago,Illinois,60621,-87.641419,41.789699,"Food pantry and family feeding center.  In the process of developing a youth after school program, which will include mentoring and tutoring.",1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Literacy Zone, Inc. ","5831 S Western Ave, Chicago, Illinois, 60636",5831 S Western Ave,Chicago,Illinois,60636,-87.683814,41.787418,Early childhood program including Head Start,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Children's Home and Aid,"5958 S Marshfield Ave, Chicago, Illinois, 60636",5958 S Marshfield Ave,Chicago,Illinois,60636,-87.665608,41.78512,"Programs include Power of Fathers, cognitive-based therapy in schools, RISE, One Summer Chicago, child & family counseling, adoption services, foster care support, and family preservation services.",1,1,1,1,,,1,1,,1,,,,,,1,,,,,1,,,,,,1,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,
Columbia College - Center for Community Arts Partnership (CCAP),"600 S Michigan Ave, Chicago, Illinois, 60605",600 S Michigan Ave,Chicago,Illinois,60605,-87.624265,41.874423,"Works though schools to provide dance, media arts, music, theater, visual arts, field trips, after school programs,  professional development, and other services and resources.",,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,0,1,1,1,1,1,1,1,,
The Chicago Jazz Ensemble,"600 S Michigan Ave, Chicago, Illinois, 60605",600 S Michigan Ave,Chicago,Illinois,60605,-87.624265,41.874423,Works through schools to provide arts programming (see detailed list under program types for specific programs).,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,1,0,0,1,0,,
Chicago Public Art Group,"600 W Cermak Rd, Chicago, Illinois, 60616",600 W Cermak Rd,Chicago,Illinois,60616,-87.64182,41.852748,Works through schools to provide arts programming (see detailed list under program types for specific programs).,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,1,1,0,,
Nicholson,"6006 S Peoria St, Chicago, Illinois, 60621",6006 S Peoria St,Chicago,Illinois,60621,-87.64734,41.784972,Offers out of school time programs (see program type details for specific detail). Also offers Head Start/Early Head Start.,,,,,,,1,,1,,,,,,,1,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Langford,"6010 S Throop St, Chicago, Illinois, 60636",6010 S Throop St,Chicago,Illinois,60636,-87.657099,41.78481,Offers out of school time programs (see program type details for specific detail). Also offers Head Start/Early Head Start.,,,,,,,1,,1,,,,,,,1,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Ada S. McKinley Community Services - Wentworth,"6033 S Wentworth Ave, Chicago, Illinois, 60621",6033 S Wentworth Ave,Chicago,Illinois,60621,-87.630185,41.784332,Programs focus on employment and community support,,,,,,,1,,,,,,1,,,,,,,,1,,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,
Lindblom Park,"6054 S Damen Ave, Chicago, Illinois, 60636",6054 S Damen Ave,Chicago,Illinois,60636,-87.674054,41.783849,Programs include seasonal sports and summer camps.,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Planned Parenthood - Englewood Health Center,"6059 S Ashland Ave, Chicago, Illinois, 60636",6059 S Ashland Ave,Chicago,Illinois,60636,-87.664275,41.783232,"Provides family planning services, HIV testing, men's healthcare services, STD testing, vaccinations, and women's healthcare.",,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
I Have a Dream Learning Day Care Center,"6117 S Ashland Ave, Chicago, Illinois, 60636",6117 S Ashland Ave,Chicago,Illinois,60636,-87.664264,41.782542,Early childhood program,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lindblom HS,"6130 S Wolcott Ave, Chicago, Illinois, 60636",6130 S Wolcott Ave,Chicago,Illinois,60636,-87.671576,41.782423,Offers out of school time programs (see program type details for specific detail). ,,,,,,,1,,,,1,,1,,,,,,1,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeLine Theatre Company,"615 W Wellington Ave, Chicago, Illinois, 60657",615 W Wellington Ave,Chicago,Illinois,60657,-87.644941,41.936453,Works through schools to provide arts programming (see detailed list under program types for specific programs).,,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,1,1,0,0,0,1,1,,
Kelly Library,"6151 S Normal Ave, Chicago, Illinois, 60621",6151 S Normal Ave,Chicago,Illinois,60621,-87.6375,41.782369,Provides homework help and computer literacy support,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bethel Imani Lutheran Pantry,"6201 S Sangamon St, Chicago, Illinois, 60621",6201 S Sangamon St,Chicago,Illinois,60621,-87.648405,41.781172,"Provides weekly food drives, ""Back-to-School"" book bag drives, and other youth programs.",1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team HS,"6201 S Stewart Ave, Chicago, Illinois, 60621",6201 S Stewart Ave,Chicago,Illinois,60621,-87.635045,41.781471,Offers out of school time programs (see program type details for specific detail). ,,,,,,,1,,1,,1,,1,,,,,1,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Urban Prep - Englewood HS,"6201 S Stewart Ave, Chicago, Illinois, 60621",6201 S Stewart Ave,Chicago,Illinois,60621,-87.635045,41.781471,Offers out of school time programs (see program type details for specific detail). ,,,,,,,1,,1,,,,,,,,,,1,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Diana's Playpen of Little Genius's Inc,"6236 S Western Ave, Chicago, Illinois, 60636",6236 S Western Ave,Chicago,Illinois,60636,-87.683688,41.77999,Early childhood program including Head Start,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boys & Girls Clubs of Chicago - Englewood,"6245 S Wabash Ave, Chicago, Illinois, 60637",6245 S Wabash Ave,Chicago,Illinois,60637,-87.623705,41.780501,"Programs include Character & Leadership, Education & Career, Health & Life Skills, The Arts, and Fitness & Sports.",,,,,,,1,,,,1,,1,,,,,,,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Snow City Arts,"630 S Hermitage Ave, Chicago, Illinois, 60612",630 S Hermitage Ave,Chicago,Illinois,60612,-87.670384,41.873402,Works through schools to provide arts programming (see detailed list under program types for specific programs).,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,0,0,0,1,0,0,0,1,,
Kennedy King--City Colleges of Chicago,"6301 S Halsted St, Chicago, Illinois, 60621",6301 S Halsted St,Chicago,Illinois,60621,-87.644745,41.779511,Community college with education and workforce development programs.,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,
Northwestern University,"633 Clark St, Evanston, Illinois, 60208",633 Clark St,Evanston,Illinois,60208,-87.67934,42.049843,"Works through schools to provide school performance, after school programs, and other services and resources.",,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,1,1,1,1,1,1,,
Noble - Johnson HS,"6350 S Stewart Ave, Chicago, Illinois, 60621",6350 S Stewart Ave,Chicago,Illinois,60621,-87.635051,41.778819,Offers out of school time programs (see program type details for specific detail). ,,,,,,,1,,1,,1,,,,,,,,1,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
"First Step Learning Daycare, Inc.","6401 S Ashland Ave, Chicago, Illinois, 60636",6401 S Ashland Ave,Chicago,Illinois,60636,-87.664144,41.777492,Early childhood program including Head Start,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Grow Chicago,"6402 S Honore St, Chicago, Illinois, 60636",6402 S Honore St,Chicago,Illinois,60636,-87.670288,41.777349,"Focused on fostering creativity, wellness and empowerment for individuals in the community as a whole.  Programs include sustainable farming and educational programs in nutrition, movement yoga and the arts, after school programs, camps, mentoring, men's group, and laundry services.",1,,,,,1,1,,,,1,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Health,"641 W 63rd St, Chicago, Illinois, 60621",641 W 63rd St,Chicago,Illinois,60621,-87.641251,41.779783,"Provides medical services to low-income uninsured adults in need of a medical home.  Services include: specialty (e.g. cardiology, gynecology, neurology), dental care, preventive health screenings, vaccinations, select diagnostic testing, cessation counseling, nutrition counseling, diabetes management, medication therapy management for chronic conditions, and counseling for emotional and personal support.",,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YWCA of Metropolitan Chicago - Englewood Satellite,"641 W 63rd St, Chicago, Illinois, 60621",641 W 63rd St,Chicago,Illinois,60621,-87.641251,41.779783,"Programs include sexual violence & support services, adult & child sexual assault counseling, medical & legal advocacy, violence prevention education, Economic Empowerment Institute, computer classes, TechGYRLS, teen parenting program.
",,,,,,,1,,,1,1,,,,,,,,,,1,,,,,,,,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,
King ES,"644 W 71st St, Chicago, Illinois, 60621",644 W 71st St,Chicago,Illinois,60621,-87.640979,41.765304,Offers out of school time programs (see program type details for specific detail). Also offers Head Start/Early Head Start.,,,,,,,1,,1,,1,,,,,1,,1,1,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Wonder Works,"6445 W North Ave, Oak Park, Illinois, 60302",6445 W North Ave,Oak Park,Illinois,60302,-87.786961,41.909093,Works through schools to provide arts programming (see detailed list under program types for specific programs).,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,
Kershaw,"6450 S Lowe Ave, Chicago, Illinois, 60621",6450 S Lowe Ave,Chicago,Illinois,60621,-87.640829,41.777044,Offers out of school time programs (see program type details for specific detail). Also offers Head Start/Early Head Start.,,,,,,,1,,1,,,,,,,1,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
People Educated Against Crime in Englewood (P.E.A.C.E.),"6455 S Peoria St, Chicago, Illinois, 60621",6455 S Peoria St,Chicago,Illinois,60621,-87.647088,41.77689,Provides an after school program,,,,,,,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading in Motion,"65 E Wacker Pl, Chicago, Illinois, 60601",65 E Wacker Pl,Chicago,Illinois,60601,-87.625632,41.886793,Works through schools to provide arts programming (see detailed list under program types for specific programs).,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,1,0,0,0,1,0,1,1,0,1,1,
Children Learn & Play Day Care II,"6512 S Halsted St, Chicago, Illinois, 60621",6512 S Halsted St,Chicago,Illinois,60621,-87.644708,41.775629,Early childhood program,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Providence Englewood,"6515 S Ashland Ave, Chicago, Illinois, 60636",6515 S Ashland Ave,Chicago,Illinois,60636,-87.664082,41.775515,Offers out of school time programs (see program type details for specific detail). ,,,,,,,1,,,,,,,,,,,,1,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Harper HS,"6520 S Wood St, Chicago, Illinois, 60636",6520 S Wood St,Chicago,Illinois,60636,-87.669008,41.77486,Offers out of school time programs (see program type details for specific detail). ,,,,,,,1,,1,,1,,1,,,,,1,1,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Otoole,"6550 S Seeley Ave, Chicago, Illinois, 60636",6550 S Seeley Ave,Chicago,Illinois,60636,-87.675038,41.774764,Offers out of school time programs (see program type details for specific detail). Also offers Head Start/Early Head Start.,,,,,,,1,,1,,,,,,,1,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
All Things Through Christ,"6600 S Hermitage Ave, Chicago, Illinois, 60636",6600 S Hermitage Ave,Chicago,Illinois,60636,-87.667759,41.773799,"Services include Back To School Jamboree, Christmas In West Englewood Toy and Coat Giveaway, weekly food pantry, Crisis Counseling of unwed mothers and pregnant teens, and Educational and college preparatory counseling and guidance.

",1,,,,,1,1,,,,,,1,,,,,,,,1,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Ada S. McKinley Community Services - Stewart,"6600 S Stewart Ave, Chicago, Illinois, 60621",6600 S Stewart Ave,Chicago,Illinois,60621,-87.634949,41.774199,Programs focus on employment and community support,,,,,,,1,,,,,,1,,,,,,,,1,,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,
Mays,"6656 S Normal Blvd, Chicago, Illinois, 60621",6656 S Normal Blvd,Chicago,Illinois,60621,-87.636882,41.773106,Offers out of school time programs (see program type details for specific detail). ,,,,,,,1,,1,,1,,,,,,,1,1,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Angels Learning Center,"6701 S Emerald Ave, Chicago, Illinois, 60621",6701 S Emerald Ave,Chicago,Illinois,60621,-87.643195,41.772282,Early childhood program including Head Start,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ada S. McKinley Community Services -Hammond House,"6701 S Morgan St, Chicago, Illinois, 60621",6701 S Morgan St,Chicago,Illinois,60621,-87.649395,41.772162,Programs focus on employment and community support,,,,,,,1,,,,,,1,,,,,,,,1,,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,
Family Focus of Englewood ,"6727 S Western Ave, Chicago, Illinois, 60636",6727 S Western Ave,Chicago,Illinois,60636,-87.683385,41.771131,"Program and services include home visits, prenatal and parenting support groups, child development education, trauma-focus therapy, crisis intervention, family planning education, grandparent raising grandchildren, father support groups, afterschool programs in schools, academic enrichment, social emotional learning and positive recreational activities, General Education Degree (GED) courses, adult literacy and support and referrals to other services, and Helping Pregnant Teens & Teen Parents.
",1,,,1,,,1,1,,1,,,,1,,1,,,,,1,,,,,,,1,,1,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,
Davis M,"6740 S Paulina St, Chicago, Illinois, 60636",6740 S Paulina St,Chicago,Illinois,60636,-87.666446,41.771373,Offers out of school time programs (see program type details for specific detail). ,,,,,,,1,,,,1,,,,,,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Parker,"6800 S Stewart Ave, Chicago, Illinois, 60621",6800 S Stewart Ave,Chicago,Illinois,60621,-87.634791,41.7689,Offers out of school time programs (see program type details for specific detail). ,,,,,,,1,,1,1,1,,,,,,,,1,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Beloved Community Family Wellness Center,"6821 S Halsted St, Chicago, Illinois, 60621",6821 S Halsted St,Chicago,Illinois,60621,-87.644505,41.769952,"Services include Prenatal Care, Immunizations, Well-Child Care, Confidential Teen Care, and Men & Women's Health Care.",,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Robeson HS,"6835 S Normal Blvd, Chicago, Illinois, 60621",6835 S Normal Blvd,Chicago,Illinois,60621,-87.637228,41.770048,Offers out of school time programs (see program type details for specific detail). ,,,,,,,1,,1,,,,1,,,,,1,1,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Action Council (CPS),"6836 S Normal Blvd, Chicago, Illinois, 60621",6836 S Normal Blvd,Chicago,Illinois,60622,-87.637228,41.770048,"Informs parents about the performance and utilization of schools in their neighborhood and the priorities and initiatives of the CPS central office & connects schools, students and families to various community resources.
   
",,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Sky is the Limit Recovery Facilities, Inc. ","6859 S Halsted St, Chicago, Illinois, 60621",6859 S Halsted St,Chicago,Illinois,60621,-87.644487,41.769583,"Services include Substance Abuse Treatment, Detoxification, Methadone Maintenance, Methadone Detoxification",,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
